"","ID","LongID","SiO2_n","TiO2_n","Al2O3_n","FeO_n","MnO_n","MgO_n","CaO_n","Na2O_n","K2O_n","Total_n","Type","Group","Eruption_ID","Volcano"
"313","SAM-684","SAM-684_AVZ3-MB1-90-21_7_AVZ3-MB1-90-21_7__MB1_Burney",8.79585129478665,0.427784992724149,3.60776939396076,1.05924501414923,0.0547722557505166,0.490917508345343,1.18067777145164,2.11896201004171,1.3906832852954,100,"Acid","SAM","MB1","Burney"
"314","SAM-686","SAM-686_MB1_90-21_12_MB1_Burney",8.83294967720297,0.430116263352131,3.5069930139651,1.06583300755794,0.240831891575846,0.506951674225463,1.14498908291739,2.18288799529431,1.3137731919932,100,"Acid","SAM","MB1","Burney"
"315","SAM-687","SAM-687_PZ2_MB1-BF_370_4_MB1_Burney",8.64956646312403,0.613188388670236,3.64156559737704,1.34201341274966,0.202484567313166,0.689927532426414,1.50665191733194,2.25188809668687,1.28879788950789,100,"Acid","SAM","MB1","Burney"
"316","SAM-688","SAM-688_PZ2_MB1-BF_370_5_MB1_Burney",8.70017241208472,0.570087712549569,3.65732142421199,1.25459156700498,0,0.620483682299543,1.3641847382228,2.189520495451,1.34089522334894,100,"Acid","SAM","MB1","Burney"
"317","SAM-691","SAM-691_PZ2_MB1-BF_370_10_MB1_Burney",8.74522726977407,0.503984126734166,3.59555280867908,1.24779806058513,0.254950975679639,0.632455532033676,1.34833230325465,2.13401030925345,1.30996183150503,100,"Acid","SAM","MB1","Burney"
"318","SAM-693","SAM-693_PZ2_MB1-93_21W_2_MB1_Burney",8.76612799358987,0.469041575982343,3.60222153677422,1.19540788018149,0.18165902124585,0.552268050859363,1.30460722058403,2.13401030925345,1.30268952555857,100,"Acid","SAM","MB1","Burney"
"319","SAM-694","SAM-694_PZ2_MB1-93_21W_4_MB1_Burney",8.7061472535215,0.484767985741633,3.64087901474356,1.25976188226188,0.219089023002066,0.561248608016091,1.35904378148756,2.24588512618077,1.24579292019179,100,"Acid","SAM","MB1","Burney"
"320","SAM-695","SAM-695_PZ2_MB1-93_21W_6_MB1_Burney",8.68049537756919,0.570087712549569,3.65964479150641,1.26885775404495,0.16431676725155,0.632455532033676,1.41950695665784,2.23450218169506,1.24619420637395,100,"Acid","SAM","MB1","Burney"
"321","SAM-697","SAM-697_PZ2_MB1-93_21W_10_MB1_Burney",8.71751111269725,0.503984126734166,3.62104957160213,1.24498995979887,0.109544511501033,0.570087712549569,1.33229125944742,2.22598292895521,1.29769025580067,100,"Acid","SAM","MB1","Burney"
"322","SAM-698","SAM-698_PZ2_MB1-93_21W_13_MB1_Burney",8.74642784226795,0.585662018573853,3.58775695943858,1.17813411800185,0.202484567313166,0.565685424949238,1.32740348048361,2.20952483579615,1.29383151917087,100,"Acid","SAM","MB1","Burney"
"323","SAM-700","SAM-700_PZ2_MB1-93_21W_18_MB1_Burney",8.70758290227547,0.519615242270663,3.67287353444139,1.24819870213039,0.214476105895272,0.630079360080935,1.41562706953491,2.12179169571379,1.27279220613579,100,"Acid","SAM","MB1","Burney"
"324","SAM-701","SAM-701_PZ2_MB1-93_21W_20_MB1_Burney",8.73613186713662,0.474341649025257,3.59082163299711,1.23166553901617,0,0.600832755431992,1.3490737563232,2.19818106624545,1.30076900332073,100,"Acid","SAM","MB1","Burney"
"325","SAM-702","SAM-702_PZ2_MB1-93_21W_22_MB1_Burney",8.7266259230014,0.521536192416212,3.58594478485099,1.28023435354626,0.204939015319192,0.64730209330729,1.3780420893427,2.18814990345726,1.30575648572006,100,"Acid","SAM","MB1","Burney"
"326","SAM-704","SAM-704_PZ2_MB1-93_21W_24_MB1_Burney",8.74185335040574,0.493963561409139,3.61939221417077,1.21819538662728,0.151657508881031,0.569209978830308,1.29112354172635,2.20454076850486,1.26767503722366,100,"Acid","SAM","MB1","Burney"
"327","SAM-705","SAM-705_PZ2_MB1-93_21W_25_MB1_Burney",8.7237606569644,0.473286382647969,3.62643075213081,1.24659536337979,0.187082869338697,0.621288982680363,1.37840487520902,2.18036694159492,1.26806939873179,100,"Acid","SAM","MB1","Burney"
