depth_cm,unit,min_Sh20_age_BP,max_Sh20_age_BP,median_Sh20_age_BP,mean_Sh20_age_BP,Si_pc_TSN,K_pc_TSN,Ca_pc_TSN,Ti_pc_TSN,Mn_pc_TSN,Fe_pc_TSN,Zn_pc_TSN,Br_pc_TSN,Rb_pc_TSN,Sr_pc_TSN,Zr_pc_TSN,Mo_inc_pc_TSN,Mo_coh_pc_TSN,SUM_pc_TSN,Mo_inc_coh_ratio
9.86,9,605.06,871.41,736.24,737.35,0.09,0.134,3.021,1.836,2.095,73.502,0.082,0.095,0.019,1.674,0.402,11.943,3.493,98.383,3.418900982
9.88,9,607.61,872.27,737.25,738.53,0.12,0.162,2.956,1.787,2.07,72.956,0.054,0.177,0.106,1.778,0.371,12.385,3.595,98.517,3.444793302
9.9,9,610.33,873.03,738.49,739.7,0.1,0.14,3.082,1.818,2.048,73.199,0.116,0.143,0,1.74,0.297,12.327,3.619,98.623,3.406398731
9.92,9,612.89,873.62,739.59,740.88,0.11,0.17,2.965,1.805,2.023,72.863,0.131,0.112,0,1.642,0.413,12.57,3.691,98.5,3.405221932
9.94,9,615.24,874.13,740.51,742.06,0.1,0.137,3.179,1.786,1.947,72.363,0.061,0.043,0.125,1.683,0.556,12.746,3.844,98.572,3.315776335
9.96,9,617.59,874.83,741.54,743.23,0.11,0.135,3.186,1.743,2.01,72.491,0.084,0.117,0.018,1.641,0.468,12.532,3.81,98.342,3.289460154
9.98,9,620.2,875.27,742.39,744.41,0.08,0.162,3.088,1.764,2.135,72.166,0.117,0.069,0,1.585,0.46,12.877,3.94,98.443,3.268599282
10,9,622.67,876.07,743.72,745.58,0.09,0.149,2.913,1.712,2.137,72.656,0.098,0.094,0.029,1.687,0.404,12.903,3.633,98.503,3.551553478
10.02,9,625.3,876.89,744.84,746.76,0.09,0.157,3.09,1.701,2.031,72.533,0.083,0.136,0.132,1.643,0.441,12.652,3.75,98.435,3.373854447
10.04,9,627.85,877.54,746.04,747.93,0.09,0.126,2.873,1.693,1.959,72.339,0.12,0.113,0,1.769,0.519,13.007,3.774,98.377,3.446745562
10.06,9,629.66,878.5,746.91,749.11,0.09,0.149,2.859,1.735,1.678,72.735,0.113,0.048,0.103,1.744,0.448,12.588,3.918,98.206,3.213199278
10.08,9,631.89,879.34,748.14,750.28,0.09,0.15,2.815,1.664,1.552,73.257,0.02,0.155,0,1.653,0.506,12.607,3.811,98.277,3.307899703
10.1,9,634.55,880.03,749.33,751.46,0.09,0.151,3.01,1.733,1.44,72.638,0.156,0.179,0.052,1.759,0.533,12.605,3.815,98.165,3.304059432
10.12,9,637.08,880.73,750.22,752.63,0.07,0.125,2.927,1.787,1.38,73.046,0.049,0.058,0.101,1.766,0.469,12.728,3.802,98.311,3.34769728
10.14,9,639.08,881.38,751.26,753.81,0.1,0.125,2.834,1.822,1.431,73.273,0.141,0.143,0.083,1.598,0.524,12.48,3.945,98.5,3.163344551
